Where do you live?	I live in Pasadena.
I bought it on a hunch.	You didn't read about the company first?
I didn't have to. It's been in business for 60 years.	So what's the problem?
I used all my savings on this one company.	You put all your eggs into one basket.
If the company goes out of business, I'll have nothing.	Oh, you'll have something you'll have a lesson you'll never forget!
I was going to be a doctor.	What happened to your plans?
I got a D in college chemistry.	Well, a D is better than an F.
A tutor helped me get the D!	So, you didn't become a doctor.
And now I'm glad that I didn't.	Why's that?
A hospital is the most dangerous place in the world.	Oh, yes, because of all the killer germs.
If you're a smart doctor, you stay away from hospitals.	Yes, the smart doctors are those TV news doctors no hospitals, no patients.
I want to be a mail carrier when I grow up.	Why?
Because you get to meet a lot of people.	You sure do.
And you get a lot of exercise every day.	That's the truth.
And you get to play with a lot of dogs.	Well, you're supposed to be working.
Yes, but I will always pet the friendly dogs.	What about the unfriendly dogs?
I think if you are friendly to dogs, they are friendly to you.	Dogs are like people not all of them are friendly.
I want to move to New York.	To the state or the city?
To the city, of course.	Why do you want to move there?
Because I want to make a lot of money.	There are a lot of poor people in New York.
There sure are at least a million.	So how do you plan to become rich?
I will knock on the doors of all the corporations.	That won't make you rich. Nobody will talk to you.
I will keep knocking on doors.	All you will get is sore knuckles.
I like that shirt.	So do I.
How much is it?	I don't know. The tag is missing.
Ask the clerk.	I will.
Oh, look. Here's another shirt just like it.	Does it have a price tag?
Yes, it does. It's only $20.	That's a great price.
I think I'll buy both of them.	You'd better try them on first.
I bought you a pair of pants.	Thank you.
I hope they fit.	I hope you kept the receipt.
You think they won't fit?	I think I've put on some weight.
You think?	Maybe a pound or two.
Maybe four or five pounds?	My waist is bigger than it was.
No problem. These pants have an elastic waistband.	You are so smart!
What do we need to buy?	Let me look at our list.
I know that we need milk.	Nonfat.
Of course. What else?	We need cheese, bread, and ham.
What kind of cheese?	Swiss.
Of course, the cheese with holes in it.	I never used to buy Swiss cheese.
Why not?	I didn't want to pay for the holes.
I need some pants.	I thought you just bought a pair.
I did.	What's wrong with them so soon?
The pants are fine, but the pocket has a huge hole in it.	You shouldn't carry your keys and pens in your pocket.
But that's what pockets are for.	You should carry them in a purse.
I'm a man, and men don't carry purses!	Well, you should buy pants with stronger pockets.
I would if I could find someone who makes strong pockets.	Try a Google search online.
What are those wipes for?	You use them to wipe the handle of the shopping cart.
That's a great idea.	Yes, all the markets just started offering wipes to shoppers.
I'm going to take five wipes.	What do you need five of them for?
One to wipe the handle, and the others to wipe the produce.	What's the matter with the produce?
Do you think the bananas fell from the sky?	What do you mean?
I mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.	Well, you better save a wipe for the dirty dollar bills you're going to pay with. 
Did you go to the 99 Cents store?	Yes, I did.
What did you buy?	Well, I got a lot of good deals, as usual.
Like what?	Well, a dozen large eggs were only 99 cents.
That's a good deal.	And a one-pound tub of soft butter was the same price.
Another good deal.	But the best deal was five pounds of potatoes for 99 cents.
I don't know how that store makes money.	Neither do I, but they're doing something right.
I need a new computer.	What's the matter with yours?
It's six years old.	That's pretty old.
It still works, but I'm going to give it to a charity.	Are you going to buy a desktop or laptop?
Oh, a laptop, of course.	A PC or a Mac?
I haven't decided yet.	More and more people are using Macs.
But 90 percent of the world uses PCs.	And that's not going to change anytime soon.
I got ripped off.	What happened?
I had a car problem, so I went online.	Did you find a solution?
Yes, I did. A site I went to said they would send me the solution.	So, what's the problem?
I sent them $20 using my credit card, but they never sent me the solution.	What are you going to do?
I sent them an email asking for my money back.	Have you heard from them?
Not yet. It's been a week.	Well, I guess that's a $20 lesson for you.
Where's the pencil sharpener?	Which one?
Any one. I need to sharpen this pencil.	I think there's one on the dining room table.
I already looked there.	Did you look in the desk drawer?
Yes, I looked there, too.	Don't we have about five sharpeners?
Yes, but they seem to have legs.	Tomorrow I'm going to buy an electric sharpener.
Get one with the rubber suction cups on the bottom.	Yes. That way it will stay where I put it.
I'm trying to stretch my dollars.	How are you doing that?
I started shopping at the dollar store.	That saves a lot of money.
I bought three pounds of potatoes for a dollar.	That's a good deal.
Yes, even though some of the potatoes had eyes.	Just put them in the fridge.
Also, I bought a can of cheap coffee and a bag of good coffee.	Why did you do that?
I mixed them together.	If the coffee still tastes okay, that's a good idea.
I really like this house.	Can we afford it?
They want 20 percent down.	That's a lot of money.
But the house is so nice.	It's in a great neighborhood.
It's close to the beach.	It's close to the freeways.
It's got a big yard.	The kids love the house, too.
If we don't buy it, someone else will.	You're right. Let's buy it now. We can worry later. 
We can't afford this house.	Are you sure?
We will be house rich, but cash poor.	What do you mean?
Our monthly payments will be too high.	We won't have any money for other things?
No, we won't have money for gas or food.	We'll be eating peanut butter sandwiches?
Without the peanut butter!	That's no good!
We have to find a cheaper house.	Of course. We can't live without gas or peanut butter.
That is a beautiful house.	I don't like it.
What's the matter with it?	It's on the corner.
So?	That means it gets twice as much traffic.
You're right.	When you're inside, you will always hear cars stopping and stopping at the intersection.
Or you'll hear the collision if someone doesn't stop.	Or you'll see the collision if they crash into the house.
Let's find a house that's at the end of a dead end.	That's perfect. The less traffic, the better.
I hate looking for an apartment.	Me, too.
We have a 2 o'clock appointment to see the one on Main Street.	We'd better get ready to go.
It's an upstairs unit.	That's good, because I don't want to live under people with loud feet.
And it's a corner unit.	That's great. We won't have neighbors on both sides of us.
No pets are allowed.	Perfect. We don't have to listen to barking dogs.
And there are only six units in the whole building.	Where's the checkbook? I'm ready to rent it without even seeing it.
Did you call the manager?	Yes. He said he'd come over tomorrow.
Did he say what time?	Yes. He said he'd be here at 9 o'clock.
Did he understand what the problem is?	Yes. I told him our doorbell doesn't work.
